BC_Spec,BC_PWY,BC_VF,BC_CARD,RELATIONSHIP.0
0.444015216,0.232084505,0.607625954,0.918331042,RND.PAIR
0.794016359,0.284959155,0.939633409,0.454581802,RND.PAIR
0.688233211,0.198450379,0.982278034,0.637939306,RND.PAIR
0.897537792,0.281400015,0.623152214,0.780626152,RND.PAIR
0.546835637,0.159885912,0.948760667,0.562892619,RND.PAIR
0.758021453,0.210534412,0.896163537,0.907714544,RND.PAIR
0.258599928,0.133290029,0.360248688,0.130658863,1stDEG.COH
0.307728437,0.1439018,0.058393407,0.064404732,1stDEG.COH
0.538101044,0.162348321,0.940268116,0.922274197,RND.PAIR
0.736753272,0.182219583,0.136361814,0.577056526,1stDEG.COH
0.397564022,0.130193851,0.706979616,0.555805594,RND.PAIR
0.841887421,0.19857089,0.979924595,0.663511222,RND.PAIR
0.340364976,0.196255762,0.404003342,0.559054983,RND.PAIR
0.709005559,0.226455573,0.958372178,0.952701186,RND.PAIR
0.356456329,0.150271721,0.632152285,0.630774498,1stDEG.SEP
0.524865754,0.142583568,0.832652391,0.540462004,1stDEG.COH
0.382393104,0.099344525,0.341714554,0.436097412,1stDEG.SEP
0.891728294,0.287378385,0.957566446,0.903646889,1stDEG.SEP
0.640284617,0.162835403,0.926832419,0.629500239,RND.PAIR
0.636121019,0.272041264,0.666200622,0.751474338,1stDEG.SEP
0.803157761,0.271596906,0.843226769,0.615588738,RND.PAIR
0.827745535,0.288215497,1,0.818331794,RND.PAIR
0.890122866,0.188020485,0.743362593,0.654808711,RND.PAIR
0.686964391,0.216284658,1,0.884163463,RND.PAIR
0.609553691,0.197787748,0.345676229,0.465321878,RND.PAIR
0.525190908,0.211225462,0.622421852,0.494842738,RND.PAIR
0.73214562,0.231039347,0.973533498,0.50986268,1stDEG.SEP
0.813385342,0.224811875,0.797552502,0.556992218,1stDEG.SEP
0.536081301,0.127618953,0.722094584,0.602464554,RND.PAIR
0.562132632,0.130132304,0.838135042,0.564135358,RND.PAIR
0.550470192,0.171693144,0.936764759,0.775529035,1stDEG.SEP
0.580167618,0.151420231,0.936681162,0.506006529,RND.PAIR
0.813838845,0.179572727,0.97469792,0.822413439,1stDEG.SEP
0.399858874,0.09112158,0.882194948,0.323188303,1stDEG.COH
0.521546424,0.085990098,0.849117044,0.592549366,1stDEG.COH
0.87263908,0.264754735,0.975092363,0.85101602,1stDEG.COH
0.570871339,0.170734135,0.740118166,0.86375185,RND.PAIR
0.90819243,0.259100376,0.980967113,0.504545228,RND.PAIR
0.482967938,0.139919065,0.849560628,0.481663866,1stDEG.SEP
0.783224536,0.209748482,0.317457944,0.371341272,RND.PAIR
0.483099813,0.127588645,0.218687531,0.46656397,1stDEG.SEP
0.485025136,0.144490979,0.81898845,0.329204669,RND.PAIR
0.741194076,0.229146804,1,0.59518947,RND.PAIR
0.617437798,0.276280267,0.603029024,0.731049555,RND.PAIR
0.638300961,0.195811317,0.92338934,0.772823599,RND.PAIR
0.516552871,0.151202345,0.821114384,0.599049232,1stDEG.SEP
0.471038732,0.138355473,0.885129656,0.610161166,RND.PAIR
0.634560911,0.17088286,0.880700857,0.450656329,RND.PAIR
0.740824137,0.191700526,0.920926408,0.394655604,RND.PAIR
0.725625007,0.208596334,1,0.665948745,1stDEG.COH
0.42617168,0.169225795,1,0.697957083,1stDEG.COH
0.697879579,0.287559031,0.690791882,0.657587885,1stDEG.SEP
0.577697459,0.172250413,0.991517175,0.683643037,RND.PAIR
0.402256383,0.105850483,0.563727478,0.449274719,RND.PAIR
0.883481176,0.317654377,0.977083106,0.907094116,RND.PAIR
0.418317073,0.182562253,0.054735529,0.778565089,RND.PAIR
0.462847649,0.200153056,0.850130538,0.566533852,RND.PAIR
0.529498469,0.145246658,0.864320201,0.689897938,1stDEG.SEP
0.396488003,0.12495954,0.96907368,0.625233046,RND.PAIR
0.597720556,0.198543005,0.591657135,0.514964464,RND.PAIR
0.616319942,0.173019933,0.944857531,1,1stDEG.SEP
0.446775566,0.158196225,0.878603864,0.433935958,RND.PAIR
0.665951044,0.222362559,0.82426786,0.944900398,RND.PAIR
0.732293308,0.246560071,0.356455931,0.616361326,RND.PAIR
0.646760327,0.101522838,0.961703499,0.70009132,RND.PAIR
0.668376143,0.1951118,0.904954727,0.457622177,1stDEG.COH
0.434596159,0.180253427,0.568225866,0.594968373,RND.PAIR
0.522904001,0.180430203,0.764148838,0.551217275,RND.PAIR
0.701078582,0.28185763,0.418518739,0.815569362,1stDEG.SEP
0.76621998,0.253890762,0.91163218,0.860625732,1stDEG.SEP
0.574470585,0.291089389,0.975616882,0.683819766,1stDEG.SEP
0.816297306,0.190198392,0.808413556,0.875748397,RND.PAIR
0.827315194,0.196640889,0.813918067,0.879508113,RND.PAIR
0.652641312,0.166742936,0.900303972,0.618368615,1stDEG.SEP
0.660593976,0.208733025,0.851474254,0.683357927,1stDEG.SEP
